,country,continent,year,lifeExp,pop,gdpPercap,iso_alpha,iso_num,total_bill,tip,sex,smoker,day,time,size,fips,unemp
0,Afghanistan,Asia,1952.0,28.801,8425333.0,779.4453145,AFG,4.0,16.99,1.01,Female,No,Sun,Dinner,2.0,01001,5.3
1,Afghanistan,Asia,1957.0,30.331999999999997,9240934.0,820.8530296,AFG,4.0,10.34,1.66,Male,No,Sun,Dinner,3.0,01003,5.4
2,Afghanistan,Asia,1962.0,31.997,10267083.0,853.1007099999999,AFG,4.0,21.01,3.5,Male,No,Sun,Dinner,3.0,01005,8.6
3,Afghanistan,Asia,1967.0,34.02,11537966.0,836.1971382,AFG,4.0,23.68,3.31,Male,No,Sun,Dinner,2.0,01007,6.6
4,Afghanistan,Asia,1972.0,36.088,13079460.0,739.9811057999999,AFG,4.0,24.59,3.61,Female,No,Sun,Dinner,4.0,01009,5.5
5,Afghanistan,Asia,1977.0,38.438,14880372.0,786.11336,AFG,4.0,25.29,4.71,Male,No,Sun,Dinner,4.0,01011,7.2
6,Afghanistan,Asia,1982.0,39.854,12881816.0,978.0114388000001,AFG,4.0,8.77,2.0,Male,No,Sun,Dinner,2.0,01013,7.1
7,Afghanistan,Asia,1987.0,40.821999999999996,13867957.0,852.3959447999999,AFG,4.0,26.88,3.12,Male,No,Sun,Dinner,4.0,01015,6.7
8,Afghanistan,Asia,1992.0,41.674,16317921.0,649.3413952000001,AFG,4.0,15.04,1.96,Male,No,Sun,Dinner,2.0,01017,5.5
9,Afghanistan,Asia,1997.0,41.763000000000005,22227415.0,635.341351,AFG,4.0,14.78,3.23,Male,No,Sun,Dinner,2.0,01019,5.2
10,Afghanistan,Asia,2002.0,42.129,25268405.0,726.7340548,AFG,4.0,10.27,1.71,Male,No,Sun,Dinner,2.0,01021,5.6
11,Afghanistan,Asia,2007.0,43.828,31889923.0,974.5803384,AFG,4.0,35.26,5.0,Female,No,Sun,Dinner,4.0,01023,8.9
12,Albania,Europe,1952.0,55.23,1282697.0,1601.056136,ALB,8.0,15.42,1.57,Male,No,Sun,Dinner,2.0,01025,11.1
13,Albania,Europe,1957.0,59.28,1476505.0,1942.2842440000002,ALB,8.0,18.43,3.0,Male,No,Sun,Dinner,4.0,01027,6.2
14,Albania,Europe,1962.0,64.82,1728137.0,2312.888958,ALB,8.0,14.83,3.02,Female,No,Sun,Dinner,2.0,01029,6.1
15,Albania,Europe,1967.0,66.22,1984060.0,2760.196931,ALB,8.0,21.58,3.92,Male,No,Sun,Dinner,2.0,01031,6.1
16,Albania,Europe,1972.0,67.69,2263554.0,3313.422188,ALB,8.0,10.33,1.67,Female,No,Sun,Dinner,3.0,01033,7.0
17,Albania,Europe,1977.0,68.93,2509048.0,3533.0039100000004,ALB,8.0,16.29,3.71,Male,No,Sun,Dinner,3.0,01035,8.6
18,Albania,Europe,1982.0,70.42,2780097.0,3630.880722,ALB,8.0,16.97,3.5,Female,No,Sun,Dinner,3.0,01037,6.1
19,Albania,Europe,1987.0,72.0,3075321.0,3738.9327350000003,ALB,8.0,20.65,3.35,Male,No,Sat,Dinner,3.0,01039,7.0
20,Albania,Europe,1992.0,71.581,3326498.0,2497.4379010000002,ALB,8.0,17.92,4.08,Male,No,Sat,Dinner,2.0,01041,6.0
21,Albania,Europe,1997.0,72.95,3428038.0,3193.054604,ALB,8.0,20.29,2.75,Female,No,Sat,Dinner,2.0,01043,5.1
22,Albania,Europe,2002.0,75.65100000000001,3508512.0,4604.211737,ALB,8.0,15.77,2.23,Female,No,Sat,Dinner,2.0,01045,5.9
23,Albania,Europe,2007.0,76.423,3600523.0,5937.029525999999,ALB,8.0,39.42,7.58,Male,No,Sat,Dinner,4.0,01047,9.4
24,Algeria,Africa,1952.0,43.077,9279525.0,2449.008185,DZA,12.0,19.82,3.18,Male,No,Sat,Dinner,2.0,01049,6.2
