,_id,company,url,model_number,model_name,color,resolution_type,operating_system,processor,storage,ram,primary_camera,secondary_camera,battery_size,width,height,depth,weight,ist_date_time,utc_time_stamp,rating,price,display_size.cm,display_size.inch,other.In The Box,other.Browse Type,other.SIM Type,other.Hybrid Sim Slot,other.Touchscreen,other.OTG Compatible,other.Quick Charging,other.Sound Enhancements,other.SAR Value,other.Resolution,other.GPU,other.Other Display Features,other.Processor Core,other.Primary Clock Speed,other.Secondary Clock Speed,other.Operating Frequency,other.Expandable Storage,other.Supported Memory Card Type,other.Memory Card Slot Type,other.Primary Camera Available,other.Primary Camera Features,other.Secondary Camera Available,other.Secondary Camera Features,other.Flash,other.Dual Camera Lens,other.Network Type,other.Supported Networks,other.Internet Connectivity,other.Bluetooth Support,other.Bluetooth Version,other.Wi-Fi,other.Wi-Fi Version,other.Wi-Fi Hotspot,other.USB Connectivity,other.Audio Jack,other.Map Support,other.GPS Support,other.Smartphone,other.SIM Size,other.User Interface,other.Removable Battery,other.Graphics PPI,other.Sensors,other.Other Features,other.FM Radio,other.Battery Type,other.Warranty Summary,feature_rating.Camera,feature_rating.Battery,feature_rating.Display,feature_rating.Value for Money,other.Display Type,other.Display Colors,other.3G,other.GPS Type,other.Micro USB Port,other.Infrared,other.HD Recording,other.Full HD Recording,other.Call Wait/Hold,other.Conference Call,other.Video Call Support,other.Phone Book,other.Speaker Phone,other.USB Tethering,other.Touchscreen Type,other.Keypad Type,other.Social Networking Phone,other.SMS,other.Keypad,other.Voice Input,other.Predictive Text Input,other.Dual Battery,other.Warranty Service Type,other.Frame Rate,other.Call Divert,other.GPRS Features,other.HD Game Support,other.Video Recording,other.Call Timer,other.Speed Dialing,other.NFC,other.Mobile Tracker,other.Instant Message,other.Business Phone,other.MMS,other.Audio Formats,other.Video Formats,other.Domestic Warranty,other.Additional Content,other.Call Log Memory,other.Video Recording Resolution,other.Hands Free,other.GPRS,other.WAP,other.Pre-installed Browser,other.Mini USB Version,other.DLNA Support,other.SIM Access,other.Upgradable Operating System,other.Series,other.Important Apps,other.Music Player,other.Micro USB Version,other.Browser,other.Tertiary Clock Speed,other.Image Editor,other.Logs,other.3G Speed,other.EDGE,other.Supported Languages,other.Digital Zoom,other.Covered in Warranty,other.Not Covered in Warranty,other.Optical Zoom,other.Call Records,other.Mini USB Port,other.Mini HDMI Port,other.FM Radio Recording,other.Ringtones Format,other.Talk Time,other.Phone Book Memory,other.SMS Memory,other.TV Out,other.Games,other.Total Memory,other.Hot SWAP Support,other.Java Application,other.JAVA Support,other.User Memory,feature_rating.Performance,other.WAP Version,other.International Warranty,other.EDGE Features,other.Buyback Guarantee Available
0,5f340034dc5a4939850ac1b2,Mi,https://www.flipkart.com/redmi-8-sapphire-blue-64-gb/p/itmd1c68a1a86f5e?pid=MOBFKPYDENDXZZ7U&lid=LSTMOBFKPYDENDXZZ7U9TT5NP&marketplace=FLIPKART&srno=b_1_1&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=e159cde6-6e94-4462-9ef9-2d7a143c15c2.MOBFKPYDENDXZZ7U.SEARCH&ssid=mgllag1o4w0000001597243412317,"['MZB9123IN', 'MZB07R9IN', 'MZB8257IN']",Redmi 8,Sapphire Blue,HD+,Android Pie 9,Qualcomm Snapdragon 439,64,4,"[12, 2]",[8],5000.0,75.41,156.48,9.4,188.0,2020-08-12 14:44:04.163,1597243444.163995,4.4,9999,15.8,6.22,"Handset, Mobile Cover, Data Cable, Adapter, Manual, SIM Card Ejector",Smartphones,Dual Sim,False,True,True,True,"Speaker: Single (Bottom Opening), Microphone: 2 (For Noise Cancellation)","Head - 0.339W/kg, Body - 1.000W/kg",1520 x 720 Pixels,Adreno 505 at 650 MHz,"Screen Protection: Gorilla Glass 5 (Front Glass), Screen Mirror/Cast",Octa Core,1.95 GHz,1.45 GHz,"GSM: B2, B3, B5, B8, WCDMA: B1, B2, B5, B8, LTE TDD: B40, B41, LTE FDD: B1, B3, B5, B8",512 GB,microSD,Dedicated Slot,True,"12MP 1.4micrometer Large Pixel Size with f/1.8, 6P Lens and Dual PD, Portrait, Bokeh, Panaroma, AI Dual Camera",True,"AI Selfie Camera, f/2.0, Portrait, Beauty Mode",Rear and Front Screen Flash,Primary Camera,"4G VOLTE, 3G, 2G","4G VoLTE, 4G LTE, WCDMA, GSM","4G, 3G, Wi-Fi",True,v4.2,True,802.11 b/g/n,True,True,3.5mm,Google Maps,True,True,Nano SIM + Nano SIM,MIUI 10,False,270.4 PPI,Rear Fingerprint Scanner,"AI Face Unlock, Dual App Support, Quick Charging Version: QC 3.0, Charger Details: 5V/2A (Phone Support 18W), USB Type: Type C 2.0, Processor Type: 4 x 1.95 GHz, 4 x 1.45 GHz, A53 + A53, Aura Mirror Design, Splash-proof by P2i, Wireless FM Radio, IR Blaster",True,Li-polymer,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,3.4,4.4,2.6,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5f340038dc5a4939850ac1b3,Mi,https://www.flipkart.com/redmi-k20-pro-carbon-black-256-gb/p/itmfgfjtrnmbbyqx?pid=MOBFG7UYUPCPYZMV&lid=LSTMOBFG7UYUPCPYZMVQFWREI&marketplace=FLIPKART&srno=b_1_21&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=e159cde6-6e94-4462-9ef9-2d7a143c15c2.MOBFG7UYUPCPYZMV.SEARCH&ssid=mgllag1o4w0000001597243412317,['MZB7753IN'],Redmi K20 Pro,Carbon Black,Full HD+,Android Pie 9.0,Qualcomm Snapdragon 855,256,8,"[48, 13, 8]",[20],4000.0,74.3,156.7,8.8,191.0,2020-08-12 14:44:08.071,1597243448.071451,4.5,29999,16.23,6.39,"Redmi K20 Pro, Power adapter, Simple protective cover, USB Type-C cable, SIM eject tool, User guide, Warranty card",Smartphones,Dual Sim,False,True,True,True,"Speaker - Single (Bottom Opening), Microphones - 2 (For Noise Cancellation), Smart PA/HiFi","Head SAR: 1.03W/kg, Body SAR: 0.72W/kg (Distance 15mm)",2340 x 1080 pixels,Adreno 640,,Octa Core,2.84 GHz,2.42 GHz,"GSM - B2, B3, B5, B8, WCDMA - B1, B2, B5, B8, LTE TDD - B38, B40, B41 (120MHz), LTE FDD - B1, B3, B5, B7, B8",,,,True,"48MP - IMX586,1/2.0inch, 1.6micrometer, 6P, F1.75, FOV79, AF, OL, 13MP - S5K3L6 1/3inch, 1.12micrometer, 5P, F2.4, FOV124.8, FF, 8MP - OV8856 1/4inch, 1.12micrometer, 5P, F2.4, FOV44.5, AF, OL, Laser Focus + PDAF, Slow Motion Support - 960 fps",True,"20MP Popup Camera with R/B LED - Aperture - F2.2, Front Camera Pixel Size - 0.8micrometer",Rear Flash,Primary Camera,"3G, 4G VOLTE, 2G","GSM, WCDMA, 4G VoLTE, 4G LTE","4G, 3G, Wi-Fi",True,5.0,True,802.11 a/b/g/n/ac (2x2 MiMo),,True,3.5mm,Google Maps,True,,Dual Nano SIM,,,403 PPI,"Fingerprint on Display, Ambient Light Sensor, Proximity Sensor, E-compass, Accelerometer, Gyroscope","Internal Memory - UFS2.1, USB Type C, QC 4.0, Processor Cores - 1 x Prime 2.84GHz + 3 x Gold 2.42GHz + 4 x Silver1.8GHz",,,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,3.9,3.8,3.9,4.3,AMOLED,"Contrast Ratio - 60000:1, NTSC Ratio - 103.8%",True,"2 band-GPS/A-GPS, GLONASS, BeiDou",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5f34003adc5a4939850ac1b4,Mi,https://www.flipkart.com/redmi-note-6-pro-red-64-gb/p/itmadbd624f136eb?pid=MOBFAJB4RHKJHDJD&lid=LSTMOBFAJB4RHKJHDJDTZPMCS&marketplace=FLIPKART&srno=b_1_20&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=e159cde6-6e94-4462-9ef9-2d7a143c15c2.MOBFAJB4RHKJHDJD.SEARCH&ssid=mgllag1o4w0000001597243412317,['M1806E7TI'],Redmi Note 6 Pro,Red,Full HD+,Android Oreo 8.1,Qualcomm Snapdragon 636,64,6,"[12, 5]","[20, 2]",4000.0,76.4,157.9,8.26,181.0,2020-08-12 14:44:10.353,1597243450.353579,4.5,13990,15.9,6.26,"Handset, Power Adapter, USB Data Cable, Ultra Thin Case, Warranty Card, Getting Started Guide, SIM Ejector Pin",Smartphones,Dual Sim,True,True,True,True,"Speaker - Single (Bottom Opening), 2 x Microphones (Noise Cancellation)","Head - 0.844W/kg, Body - 1.048W/kg",2280 x 1080 pixels,Adreno 509,"Notch Display, Corning Gorilla Glass",Octa Core,1.8 GHz,,"GSM - B2, B3, B5, B8, WCDMA - B1, B2, B5, B8, 4G LTE TDD - B40, B41, FDD - B1, B3, B5",256 GB,microSD,Hybrid Slot,True,"12MP - f/1.9, 1.4micrometer, Dual PD, 5MP - f/1.9 Aperture, Dual Pixel Auto Focus",True,f2.0,Rear Flash,Primary & Secondary Camera,"3G, 4G VOLTE, 4G, 2G","GSM, WCDMA, 4G VoLTE, 4G LTE, UMTS","4G, 3G, Wi-Fi",True,5,True,802.11a/b/g/n/ac,,True,3.5mm,Google Maps,True,True,Dual Nano SIM,,,403 PPI,"Rear Fingerprint Scanner, Ambient Light Sensor, Proximity Sensor, E-compass, Accelerometer, Gyroscope","Body - Metal Back, IR Blaster, Charger - 5V/2A, Quick Charge 3.0",,,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.2,3.8,3.3,4.7,IPS (In-cell),,True,"A-GPS, GLONASS, BeiDou",True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5f34003ddc5a4939850ac1b5,Mi,https://www.flipkart.com/redmi-note-9-arctic-white-64-gb/p/itm12201c2ee63e5?pid=MOBFU3ZFXMWJCSHP&lid=LSTMOBFU3ZFXMWJCSHPXXDRDY&marketplace=FLIPKART&srno=b_1_19&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=e159cde6-6e94-4462-9ef9-2d7a143c15c2.MOBFU3ZFXMWJCSHP.SEARCH&ssid=mgllag1o4w0000001597243412317,['M2003J15SI'],Redmi Note 9,Arctic White,Full HD+,Android Android Q 10,MediaTek Helio G85,64,4,[48],,5020.0,76.7,161.48,8.75,200.0,2020-08-12 14:44:13.407,1597243453.407403,4.4,14990,16.59,6.53,"Handset,Power adapter, USB cable, SIM eject tool, Warranty card, User guide, Clear soft caseBox also includes: Power adapter, USB cable, SIM eject tool, Warranty card, User guide, Clear soft case",Smartphones,Dual Sim,True,True,True,True,,,2340 x 1080$$pixel,Arm Mali-G52 GPU clocked up to 1000MHz,"Resolution: 2340 x 1080 FHD+
Brightness: 450nit (typ)
Contrast: 1500:1 (typ) | NTSC: 84% (typ)
Screen- to-body Ratio 19.5:9
Standard mode | Sunshine mode | Night mode | Color temperature adjustment - 256 ranks adjustable
Reading mode certified by TÜV Rheinland
Corning® Gorilla® Glass 5
Anti-oil and anti-fingerprint protective coating",Octa Core,2 GHz,2 GHz,,512 GB,microSD,Dedicated Slot,True,"48MP ultra high-resolution primary camera
48MP, 1/1.7""CMOS image sensor,1 .6μm 4-in-1 Super Pixel, f/1.79，FOV 79.1°
8MP Ultra-wide angle lens - f/2.2，FOV 118.2°
2MP 2cm macro lens
2MP Depth sensor",True,13MP AI Selfie Camera,Back,Primary Camera,"3G, 4G VOLTE","GSM, 4G VoLTE",4G/3G/2G,True,5,True,802.11a/b/g/n/ac,True,True,,,,True,nano,,False,,G-sensor | Gyroscope | L-Sensor | P-Sensor | E-Campass,,,Lithium Polyme,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,,,,,AMOLED,,True,GPS/ A-GPS / GLONASS / Beidou,,,True,True,True,True,True,True,True,True,capacitive,Alphanumeric,True,True,False,True,True,False,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5f340042dc5a4939850ac1b6,Mi,https://www.flipkart.com/redmi-8a-dual-midnight-grey-32-gb/p/itmf5568beb3c3a5?pid=MOBFP7655HZQ6ZKD&lid=LSTMOBFP7655HZQ6ZKDDKWFH9&marketplace=FLIPKART&srno=b_1_18&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=e159cde6-6e94-4462-9ef9-2d7a143c15c2.MOBFP7655HZQ6ZKD.SEARCH&ssid=mgllag1o4w0000001597243412317,['M2001C3K3I'],Redmi 8A Dual,Midnight Grey,Full HD+,Android Pie 9,Snapdragon 439 octa core processor,32,2,"[13, 2]",[8],5000.0,9.0,175.0,92.0,186.0,2020-08-12 14:44:18.095,1597243458.095905,4.2,8149,15.8,6.22,"Handset, Power Adapter, USB Cable, SIM Eject Tool, Warranty Card and User Guide",Smartphones,Dual Sim,True,True,True,True,,,1520 x 720$$Pixels,,15.7988 centimeters (6.22-inch) HD+ Dot notch display with 1520 x 720 pixels resolution and 19:9 aspect ratio | 2.5D curved glass,Octa Core,2 GHz,,,512 GB,,Dedicated Slot,True,13+2MP dual rear AI camera with PDAF | 8MP front camera,True,,Back,Primary Camera,"4G VOLTE, 3G, 2G","4G LTE, GSM",,True,4.2,True,,,True,True,,,True,Nano,,False,,"Proximity sensor, Ambient light sensor",,,lithium-ion,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,,,,,,,,A-GPS,,,True,True,True,True,True,,True,True,Capacitive ,QWERTY,,,False,True,True,,,Yes fps,True,802.11 b/g/n Wi-Fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5f340045dc5a4939850ac1b7,Mi,https://www.flipkart.com/redmi-8a-dual-sky-white-32-gb/p/itmf5568beb3c3a5?pid=MOBFP7YMYFDPZVZJ&lid=LSTMOBFP7YMYFDPZVZJQQ6H7X&marketplace=FLIPKART&srno=b_1_17&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=e159cde6-6e94-4462-9ef9-2d7a143c15c2.MOBFP7YMYFDPZVZJ.SEARCH&ssid=mgllag1o4w0000001597243412317,['M2001C3K3I'],Redmi 8A Dual,Sky White,Full HD+,Android Pie 9,Snapdragon 439 octa core processor,32,2,"[13, 2]",[8],5000.0,9.0,175.0,92.0,186.0,2020-08-12 14:44:21.871,1597243461.87114,4.2,8055,15.8,6.22,"Handset, Power Adapter, USB Cable, SIM Eject Tool, Warranty Card and User Guide",Smartphones,Dual Sim,True,True,True,True,,,1520 x 720$$pixel,,15.7988 centimeters (6.22-inch) HD+ Dot notch display with 1520 x 720 pixels resolution and 19:9 aspect ratio | 2.5D curved glass,Octa Core,2 GHz,,,512 GB,,Dedicated Slot,True,13+2MP dual rear AI camera with PDAF | 8MP front camera,True,,Back,Primary Camera,"4G VOLTE, 3G","4G LTE, GSM",,True,4.2,True,,,True,True,,,True,Nano,,False,,"Proximity sensor, Ambient light sensor",,,lithium-ion,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,,,,,,,,A-GPS,,,True,True,True,True,True,,True,True,Capacitive ,QWERTY,,,False,True,True,,,Yes fps,True,802.11 b/g/n Wi-Fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5f340048dc5a4939850ac1b8,Mi,https://www.flipkart.com/redmi-note-8-space-black-64-gb/p/itm16c6c50702ff1?pid=MOBFHFFSMVQJYYWY&lid=LSTMOBFHFFSMVQJYYWYGJCFTV&marketplace=FLIPKART&srno=b_1_16&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=e159cde6-6e94-4462-9ef9-2d7a143c15c2.MOBFHFFSMVQJYYWY.SEARCH&ssid=mgllag1o4w0000001597243412317,['M1908C3JI'],Redmi Note 8,Space Black,Full HD+,Android Pie 9,,64,4,"[48, 8]",[13],4000.0,8.35,158.3,75.3,190.0,2020-08-12 14:44:24.906,1597243464.906653,4.4,13999,16.0,6.3,"Handset / Power adapter / USB Type-C cable / SIM Eject Tool / Soft Case /
User Guide / Warranty CardUser Guide / Warranty Card",Smartphones,Dual Sim,True,True,True,True,,,2280 x 1080$$Pixels,Adreno 610,"Resolution 2340 x 1080 FHD + 19.5:9
Contrast Ratio: 1500:1 (typ)
NTSC: 84% (typ)
Sunlight display | Night mode | Eye protection mode | Color temperature adjustment
Low blue light TÜV Rheinland-certified display
Corning®️Gorilla®️Glass 5",Octa Core,2 GHz,,,,,Dedicated Slot,True,"48MP HD | Smart ultra-wide angle mode | Rear camera Beautify
Steady handheld night photography | Portrait mode background blurring | Panorama mode
Pro mode | Photo timer | Leveling | Burst mode | Face recognition | HDR | Ultra wide-angle edge distortion correction | Custom watermark
Portrait mode background blur adjustment | Full screen frame
Rear camera AI scene detection (27 recognizable tags) | Macro camera",True,"Front camera Beautify | Front camera display brightness correction | AI seperation | Face recognition | Front camera filters
Selfie timer | Selfie mirror | Hand gesture selfie | Panorama selfie | Portrait mode | Blur adjustment | Full screen camera frame",Back,Primary Camera,4G VOLTE,4G LTE,,True,4.2,True, 802.11a/b/g/n/ac,True,,3.5mm,,True,True,Nano,,False,,"Proximity sensor | Ambient light sensor | Acceleration sensor | Gyroscope |
Digital Compass | Fingerprint Sensor",,,lithium-ion,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,4.2,3.9,3.8,4.5,Gorilla Glass,16M,,,True,,True,True,True,True,True,,True,,,QWERTY,True,True,False,True,True,,,,True,,True,True,True,True,False,True,True,True,True, WAV | AAC | MP3 | AMR | FLAC | APE,MP4 | M4V | MKV | XVID | WAV | AAC | MP3 | AMR | FLAC,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5f34004ddc5a4939850ac1b9,Mi,https://www.flipkart.com/redmi-note-8-cosmic-purple-64-gb/p/itmf9758349ff6ba?pid=MOBFNY8Z8RZXUTA2&lid=LSTMOBFNY8Z8RZXUTA2WZIQOO&marketplace=FLIPKART&srno=b_1_15&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=e159cde6-6e94-4462-9ef9-2d7a143c15c2.MOBFNY8Z8RZXUTA2.SEARCH&ssid=mgllag1o4w0000001597243412317,['M1908C3JI'],Redmi Note 8,Cosmic Purple,,Android Pie 9,,64,4,[48],,4000.0,,,,,2020-08-12 14:44:29.196,1597243469.196046,4.4,13999,16.0,6.3,"Handset / Power adapter / USB Type-C cable / SIM Eject Tool / Soft Case /
User Guide / Warranty CardUser Guide / Warranty Card",Smartphones,Dual Sim,True,True,True,,,,2280 x 1080$$Pixels,,,Octa Core,2 GHz,,,,,Dedicated Slot,,,,,,Primary Camera,4G VOLTE,4G LTE,,,,,,,,,,,True,,,False,,,,,lithium-ion,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,4.2,3.9,3.8,4.5,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,False,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5f340051dc5a4939850ac1ba,Mi,https://www.flipkart.com/redmi-note-8-neptune-blue-64-gb/p/itm16c6c50702ff1?pid=MOBFHFFSG69TGSXQ&lid=LSTMOBFHFFSG69TGSXQOEE0LT&marketplace=FLIPKART&srno=b_1_14&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=e159cde6-6e94-4462-9ef9-2d7a143c15c2.MOBFHFFSG69TGSXQ.SEARCH&ssid=mgllag1o4w0000001597243412317,['M1908C3JI'],Redmi Note 8,Neptune Blue,Full HD+,Android Pie 9,,64,4,"[48, 8]",[13],4000.0,8.35,158.3,75.3,190.0,2020-08-12 14:44:33.185,1597243473.185573,4.4,13999,16.0,6.3,"Handset / Power adapter / USB Type-C cable / SIM Eject Tool / Soft Case /
User Guide / Warranty CardUser Guide / Warranty Card",Smartphones,Dual Sim,True,True,True,True,,,2280 x 1080$$Pixels,Adreno 610,"Resolution 2340 x 1080 FHD + 19.5:9
Contrast Ratio: 1500:1 (typ)
NTSC: 84% (typ)
Sunlight display | Night mode | Eye protection mode | Color temperature adjustment
Low blue light TÜV Rheinland-certified display
Corning®️Gorilla®️Glass 5",Octa Core,2 GHz,,,,,Dedicated Slot,True,"48MP HD | Smart ultra-wide angle mode | Rear camera Beautify
Steady handheld night photography | Portrait mode background blurring | Panorama mode
Pro mode | Photo timer | Leveling | Burst mode | Face recognition | HDR | Ultra wide-angle edge distortion correction | Custom watermark
Portrait mode background blur adjustment | Full screen frame
Rear camera AI scene detection (27 recognizable tags) | Macro camera",True,"Front camera Beautify | Front camera display brightness correction | AI seperation | Face recognition | Front camera filters
Selfie timer | Selfie mirror | Hand gesture selfie | Panorama selfie | Portrait mode | Blur adjustment | Full screen camera frame",Back,Primary Camera,4G VOLTE,4G LTE,,True,4.2,True, 802.11a/b/g/n/ac,True,,3.5mm,,,True,Nano,,False,,"Proximity sensor | Ambient light sensor | Acceleration sensor | Gyroscope |
Digital Compass | Fingerprint Sensor",,,lithium-ion,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,4.2,3.9,3.8,4.5,Gorilla Glass,16M,,,,,True,True,True,True,True,,True,,,QWERTY,,,False,True,True,,,,True,,,True,,,False,,,,, WAV | AAC | MP3 | AMR | FLAC | APE,MP4 | M4V | MKV | XVID | WAV | AAC | MP3 | AMR | FLAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5f34005fdc5a4939850ac1bb,OPPO,https://www.flipkart.com/oppo-a37f-grey-16-gb/p/itmewd4kzshreqtm?pid=MOBEQCGVPY6GVHYT&lid=LSTMOBEQCGVPY6GVHYTNO1MGO&marketplace=FLIPKART&srno=b_1_17&otracker=CLP_filters&fm=organic&iid=99483e2b-9f04-4eff-9a26-0f81ccc1575d.MOBEQCGVPY6GVHYT.SEARCH&ssid=kg6436besw0000001597243424383,"['A37 ', ' A37F ', ' A37FW']",A37f,Grey,HD,Android Lollipop Color OS 3.0 based on Android 5.1,Qualcomm Snapdragon 410 Quad Core 1.2GHz,16,2,[8],[5],2630.0,,143.1,,136.0,2020-08-12 14:44:47.590,1597243487.590799,4.2,10000,12.7,5.0,"Micro USB Cable, Charger, Case, Handset, Sim Ejector Tool, Headphone",Smartphones,Dual Sim,True,True,True,,,,1280 x 720 Pixels,Adreno A306,,Quad Core,1.2 GHz,,,128 GB,microSD,Hybrid Slot,True,Aperature: f/2.2,True,"Aperature: f/2.4, Beauty Camera - Works Even in Low Light, Suport HDR - with 16 Million Colors",LED Flash,,"3G, 4G VOLTE, 2G","WCDMA, 4G LTE","4G, 3G, Wi-Fi, GPRS, WAP",True,,True,802.11 b/g/n,True,True,,Google Maps,True,True,Nano Sim,Oppo ColorOS 3.0,,,,,,,Brand Warranty of 1 Year,4.8,3.6,4.1,4.4,IPS TFT,,True,,True,,True,True,True,True,True,True,,True,Capacitive,,,True,,True,True,,Customer Needs to Visit the Authorised Service Centre Of Oppo India,,True,,,True,,,,True,,,,MP3,,,Handsfree,True,1920 x 1080,True,True,True,Android,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
