,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
0,2020-10-21,21,10,2020,88,2,Afghanistan,AF,AFG,38041757.0,Asia,2.17392693
1,2020-10-20,20,10,2020,87,5,Afghanistan,AF,AFG,38041757.0,Asia,2.10558098
2,2020-10-19,19,10,2020,59,4,Afghanistan,AF,AFG,38041757.0,Asia,2.25804502
3,2020-10-18,18,10,2020,68,3,Afghanistan,AF,AFG,38041757.0,Asia,2.21861467
4,2020-10-17,17,10,2020,47,4,Afghanistan,AF,AFG,38041757.0,Asia,2.05826455
5,2020-10-16,16,10,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,1.94785956
6,2020-10-15,15,10,2020,32,1,Afghanistan,AF,AFG,38041757.0,Asia,1.99254729
7,2020-10-14,14,10,2020,66,0,Afghanistan,AF,AFG,38041757.0,Asia,1.94523087
8,2020-10-13,13,10,2020,129,3,Afghanistan,AF,AFG,38041757.0,Asia,1.81116766
9,2020-10-12,12,10,2020,96,4,Afghanistan,AF,AFG,38041757.0,Asia,1.50361089
10,2020-10-11,11,10,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,1.25125661
11,2020-10-10,10,10,2020,10,1,Afghanistan,AF,AFG,38041757.0,Asia,1.34326078
12,2020-10-09,9,10,2020,77,2,Afghanistan,AF,AFG,38041757.0,Asia,1.33274601
13,2020-10-08,8,10,2020,68,1,Afghanistan,AF,AFG,38041757.0,Asia,1.1723959
14,2020-10-07,7,10,2020,62,2,Afghanistan,AF,AFG,38041757.0,Asia,1.05936222
15,2020-10-06,6,10,2020,145,5,Afghanistan,AF,AFG,38041757.0,Asia,1.08302043
16,2020-10-05,5,10,2020,44,0,Afghanistan,AF,AFG,38041757.0,Asia,0.78072104
17,2020-10-04,4,10,2020,7,4,Afghanistan,AF,AFG,38041757.0,Asia,0.66505866
18,2020-10-03,3,10,2020,5,0,Afghanistan,AF,AFG,38041757.0,Asia,0.97524412
19,2020-10-02,2,10,2020,17,0,Afghanistan,AF,AFG,38041757.0,Asia,1.08564912
20,2020-10-01,1,10,2020,14,0,Afghanistan,AF,AFG,38041757.0,Asia,1.04096138
21,2020-09-30,30,9,2020,15,2,Afghanistan,AF,AFG,38041757.0,Asia,1.04884745
22,2020-09-29,29,9,2020,12,3,Afghanistan,AF,AFG,38041757.0,Asia,1.11456471
23,2020-09-28,28,9,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,1.34326078
24,2020-09-27,27,9,2020,35,0,Afghanistan,AF,AFG,38041757.0,Asia,1.54041255
25,2020-09-26,26,9,2020,6,2,Afghanistan,AF,AFG,38041757.0,Asia,1.54041255
26,2020-09-25,25,9,2020,16,0,Afghanistan,AF,AFG,38041757.0,Asia,1.61401588
27,2020-09-24,24,9,2020,25,5,Afghanistan,AF,AFG,38041757.0,Asia,1.64556017
28,2020-09-23,23,9,2020,71,2,Afghanistan,AF,AFG,38041757.0,Asia,1.64293148
29,2020-09-22,22,9,2020,30,3,Afghanistan,AF,AFG,38041757.0,Asia,1.52464041
30,2020-09-21,21,9,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,1.69813397
