,Country Name,Indicator Name,Year,Value
0,Arab World,"Agriculture, value added (% of GDP)",1962,
1,Arab World,CO2 emissions (metric tons per capita),1962,0.760995978569
2,Arab World,Domestic credit provided by financial sector (% of GDP),1962,18.1686895397
3,Arab World,Electric power consumption (kWh per capita),1962,
4,Arab World,Energy use (kg of oil equivalent per capita),1962,
5,Arab World,Exports of goods and services (% of GDP),1962,
6,Arab World,"Fertility rate, total (births per woman)",1962,6.96445371647
7,Arab World,GDP growth (annual %),1962,
8,Arab World,Imports of goods and services (% of GDP),1962,
9,Arab World,"Industry, value added (% of GDP)",1962,
10,Arab World,"Inflation, GDP deflator (annual %)",1962,
11,Arab World,"Life expectancy at birth, total (years)",1962,48.008602901
12,Arab World,Population density (people per sq. km of land area),1962,7.1684738533
13,Arab World,"Services, etc., value added (% of GDP)",1962,
14,Caribbean small states,"Agriculture, value added (% of GDP)",1962,
15,Caribbean small states,CO2 emissions (metric tons per capita),1962,2.7038747574299995
16,Caribbean small states,Domestic credit provided by financial sector (% of GDP),1962,15.054971343900002
17,Caribbean small states,Electric power consumption (kWh per capita),1962,
18,Caribbean small states,Energy use (kg of oil equivalent per capita),1962,
19,Caribbean small states,Exports of goods and services (% of GDP),1962,53.285880543699996
20,Caribbean small states,"Fertility rate, total (births per woman)",1962,5.52302044416
21,Caribbean small states,GDP growth (annual %),1962,
22,Caribbean small states,Imports of goods and services (% of GDP),1962,53.5410416247
23,Caribbean small states,"Industry, value added (% of GDP)",1962,
24,Caribbean small states,"Inflation, GDP deflator (annual %)",1962,
25,Caribbean small states,"Life expectancy at birth, total (years)",1962,63.27171776229999
26,Caribbean small states,Population density (people per sq. km of land area),1962,10.7612722332
27,Caribbean small states,"Services, etc., value added (% of GDP)",1962,
28,Central Europe and the Baltics,"Agriculture, value added (% of GDP)",1962,
29,Central Europe and the Baltics,CO2 emissions (metric tons per capita),1962,5.67398699024
30,Central Europe and the Baltics,Domestic credit provided by financial sector (% of GDP),1962,
31,Central Europe and the Baltics,Electric power consumption (kWh per capita),1962,
32,Central Europe and the Baltics,Energy use (kg of oil equivalent per capita),1962,
33,Central Europe and the Baltics,Exports of goods and services (% of GDP),1962,
34,Central Europe and the Baltics,"Fertility rate, total (births per woman)",1962,2.31137778329
35,Central Europe and the Baltics,GDP growth (annual %),1962,
36,Central Europe and the Baltics,Imports of goods and services (% of GDP),1962,
37,Central Europe and the Baltics,"Industry, value added (% of GDP)",1962,
38,Central Europe and the Baltics,"Inflation, GDP deflator (annual %)",1962,
39,Central Europe and the Baltics,"Life expectancy at birth, total (years)",1962,68.0077933168
40,Central Europe and the Baltics,Population density (people per sq. km of land area),1962,84.1028476463
41,Central Europe and the Baltics,"Services, etc., value added (% of GDP)",1962,
42,Early-demographic dividend,"Agriculture, value added (% of GDP)",1962,
43,Early-demographic dividend,CO2 emissions (metric tons per capita),1962,0.623761075266
44,Early-demographic dividend,Domestic credit provided by financial sector (% of GDP),1962,22.6410753035
45,Early-demographic dividend,Electric power consumption (kWh per capita),1962,
46,Early-demographic dividend,Energy use (kg of oil equivalent per capita),1962,
47,Early-demographic dividend,Exports of goods and services (% of GDP),1962,11.1587321223
48,Early-demographic dividend,"Fertility rate, total (births per woman)",1962,6.13830620013
49,Early-demographic dividend,GDP growth (annual %),1962,4.15383252523
50,Early-demographic dividend,Imports of goods and services (% of GDP),1962,11.4113861727
51,Early-demographic dividend,"Industry, value added (% of GDP)",1962,
52,Early-demographic dividend,"Inflation, GDP deflator (annual %)",1962,1.94237042555
53,Early-demographic dividend,"Life expectancy at birth, total (years)",1962,46.4260962142
54,Early-demographic dividend,Population density (people per sq. km of land area),1962,30.9003592989
55,Early-demographic dividend,"Services, etc., value added (% of GDP)",1962,
56,East Asia & Pacific,"Agriculture, value added (% of GDP)",1962,
57,East Asia & Pacific,CO2 emissions (metric tons per capita),1962,0.894870615738
58,East Asia & Pacific,Domestic credit provided by financial sector (% of GDP),1962,
59,East Asia & Pacific,Electric power consumption (kWh per capita),1962,
60,East Asia & Pacific,Energy use (kg of oil equivalent per capita),1962,
61,East Asia & Pacific,Exports of goods and services (% of GDP),1962,11.2425923201
62,East Asia & Pacific,"Fertility rate, total (births per woman)",1962,5.54754303076
63,East Asia & Pacific,GDP growth (annual %),1962,6.20989184
64,East Asia & Pacific,Imports of goods and services (% of GDP),1962,11.7798591851
65,East Asia & Pacific,"Industry, value added (% of GDP)",1962,
66,East Asia & Pacific,"Inflation, GDP deflator (annual %)",1962,
67,East Asia & Pacific,"Life expectancy at birth, total (years)",1962,49.4229605536
68,East Asia & Pacific,Population density (people per sq. km of land area),1962,43.4376541609
69,East Asia & Pacific,"Services, etc., value added (% of GDP)",1962,
70,East Asia & Pacific (excluding high income),"Agriculture, value added (% of GDP)",1962,40.2225807366
71,East Asia & Pacific (excluding high income),CO2 emissions (metric tons per capita),1962,0.561665530212
