,Unnamed: 0,state_name,is_state,year,gender,caste,convicts,under_trial,detenues,others
0,0,Andhra Pradesh,1,2001,Male,SC,1236,1836,0,5
1,1,Andhra Pradesh,1,2001,Male,ST,418,1205,0,1
2,2,Andhra Pradesh,1,2001,Male,OBC,1526,3359,4,8
3,3,Andhra Pradesh,1,2001,Male,Others,939,1960,0,8
4,4,Andhra Pradesh,1,2002,Male,SC,1177,1573,2,0
5,5,Andhra Pradesh,1,2002,Male,ST,384,962,0,0
6,6,Andhra Pradesh,1,2002,Male,OBC,1833,2951,0,0
7,7,Andhra Pradesh,1,2002,Male,Others,1327,2506,0,0
8,8,Andhra Pradesh,1,2003,Male,SC,1153,1622,0,0
9,9,Andhra Pradesh,1,2003,Male,ST,381,990,0,0
10,10,Andhra Pradesh,1,2003,Male,OBC,2279,3476,11,0
11,11,Andhra Pradesh,1,2003,Male,Others,1162,2290,7,0
12,12,Andhra Pradesh,1,2004,Male,SC,918,1751,5,0
13,13,Andhra Pradesh,1,2004,Male,ST,300,916,3,0
14,14,Andhra Pradesh,1,2004,Male,OBC,2146,3645,18,0
15,15,Andhra Pradesh,1,2004,Male,Others,1204,2187,3,0
16,16,Andhra Pradesh,1,2005,Male,SC,1002,1824,2,0
17,17,Andhra Pradesh,1,2005,Male,ST,298,899,1,0
18,18,Andhra Pradesh,1,2005,Male,OBC,2201,3906,5,0
19,19,Andhra Pradesh,1,2005,Male,Others,1312,2277,2,0
20,20,Andhra Pradesh,1,2006,Male,SC,884,1970,3,8
21,21,Andhra Pradesh,1,2006,Male,ST,376,1242,0,1
22,22,Andhra Pradesh,1,2006,Male,OBC,2214,3638,11,14
23,23,Andhra Pradesh,1,2006,Male,Others,1606,2595,3,11
24,24,Andhra Pradesh,1,2007,Male,SC,906,1770,5,1
25,25,Andhra Pradesh,1,2007,Male,ST,536,1232,1,1
26,26,Andhra Pradesh,1,2007,Male,OBC,1867,2983,4,11
27,27,Andhra Pradesh,1,2007,Male,Others,2018,2825,11,7
28,28,Andhra Pradesh,1,2008,Male,SC,955,1700,3,2
29,29,Andhra Pradesh,1,2008,Male,ST,476,1001,3,0
30,30,Andhra Pradesh,1,2008,Male,OBC,1861,2617,5,3
31,31,Andhra Pradesh,1,2008,Male,Others,1863,2700,10,7
32,32,Andhra Pradesh,1,2009,Male,SC,1032,1931,9,1
33,33,Andhra Pradesh,1,2009,Male,ST,444,1027,1,0
34,34,Andhra Pradesh,1,2009,Male,OBC,1442,2562,19,6
35,35,Andhra Pradesh,1,2009,Male,Others,1421,2120,9,8
36,36,Andhra Pradesh,1,2010,Male,SC,813,1587,5,2
