,Program,Year,Period,State,ANSI,Affected by,Pct of Colonies Impacted,state_code
0,SURVEY,2019,JAN THRU MAR,Alabama,1,Disease,1.8,AL
1,SURVEY,2019,JAN THRU MAR,Alabama,1,Other,3.1,AL
2,SURVEY,2019,JAN THRU MAR,Alabama,1,Pesticides,0.3,AL
3,SURVEY,2019,JAN THRU MAR,Alabama,1,Pests_excl_Varroa,22.7,AL
4,SURVEY,2019,JAN THRU MAR,Alabama,1,Unknown,9.0,AL
5,SURVEY,2019,JAN THRU MAR,Alabama,1,Varroa_mites,27.2,AL
6,SURVEY,2018,JAN THRU MAR,Alabama,1,Disease,1.9,AL
7,SURVEY,2018,JAN THRU MAR,Alabama,1,Other,8.6,AL
8,SURVEY,2018,JAN THRU MAR,Alabama,1,Pesticides,14.9,AL
9,SURVEY,2018,JAN THRU MAR,Alabama,1,Pests_excl_Varroa,30.2,AL
10,SURVEY,2018,JAN THRU MAR,Alabama,1,Unknown,4.5,AL
11,SURVEY,2018,JAN THRU MAR,Alabama,1,Varroa_mites,29.2,AL
12,SURVEY,2018,APR THRU JUN,Alabama,1,Disease,1.3,AL
13,SURVEY,2018,APR THRU JUN,Alabama,1,Other,9.4,AL
14,SURVEY,2018,APR THRU JUN,Alabama,1,Pesticides,14.4,AL
15,SURVEY,2018,APR THRU JUN,Alabama,1,Pests_excl_Varroa,27.3,AL
16,SURVEY,2018,APR THRU JUN,Alabama,1,Unknown,2.1,AL
17,SURVEY,2018,APR THRU JUN,Alabama,1,Varroa_mites,25.2,AL
18,SURVEY,2018,JUL THRU SEP,Alabama,1,Disease,0.7,AL
19,SURVEY,2018,JUL THRU SEP,Alabama,1,Other,7.8,AL
20,SURVEY,2018,JUL THRU SEP,Alabama,1,Pesticides,14.6,AL
21,SURVEY,2018,JUL THRU SEP,Alabama,1,Pests_excl_Varroa,69.4,AL
22,SURVEY,2018,JUL THRU SEP,Alabama,1,Unknown,6.8,AL
23,SURVEY,2018,JUL THRU SEP,Alabama,1,Varroa_mites,77.5,AL
24,SURVEY,2018,OCT THRU DEC,Alabama,1,Disease,1.3,AL
25,SURVEY,2018,OCT THRU DEC,Alabama,1,Other,3.4,AL
26,SURVEY,2018,OCT THRU DEC,Alabama,1,Pesticides,1.5,AL
27,SURVEY,2018,OCT THRU DEC,Alabama,1,Pests_excl_Varroa,20.5,AL
28,SURVEY,2018,OCT THRU DEC,Alabama,1,Unknown,7.5,AL
29,SURVEY,2018,OCT THRU DEC,Alabama,1,Varroa_mites,20.6,AL
30,SURVEY,2017,JAN THRU MAR,Alabama,1,Disease,0.2,AL
31,SURVEY,2017,JAN THRU MAR,Alabama,1,Other,6.7,AL
32,SURVEY,2017,JAN THRU MAR,Alabama,1,Pesticides,3.2,AL
33,SURVEY,2017,JAN THRU MAR,Alabama,1,Pests_excl_Varroa,9.8,AL
34,SURVEY,2017,JAN THRU MAR,Alabama,1,Unknown,9.3,AL
35,SURVEY,2017,JAN THRU MAR,Alabama,1,Varroa_mites,19.9,AL
36,SURVEY,2017,APR THRU JUN,Alabama,1,Disease,0.0,AL
37,SURVEY,2017,APR THRU JUN,Alabama,1,Other,9.4,AL
38,SURVEY,2017,APR THRU JUN,Alabama,1,Pesticides,4.2,AL
39,SURVEY,2017,APR THRU JUN,Alabama,1,Pests_excl_Varroa,13.6,AL
40,SURVEY,2017,APR THRU JUN,Alabama,1,Unknown,5.3,AL
41,SURVEY,2017,APR THRU JUN,Alabama,1,Varroa_mites,17.9,AL
42,SURVEY,2017,JUL THRU SEP,Alabama,1,Disease,0.0,AL
43,SURVEY,2017,JUL THRU SEP,Alabama,1,Other,7.5,AL
44,SURVEY,2017,JUL THRU SEP,Alabama,1,Pesticides,35.4,AL
45,SURVEY,2017,JUL THRU SEP,Alabama,1,Pests_excl_Varroa,22.1,AL
46,SURVEY,2017,JUL THRU SEP,Alabama,1,Unknown,3.9,AL
47,SURVEY,2017,JUL THRU SEP,Alabama,1,Varroa_mites,69.5,AL
48,SURVEY,2017,OCT THRU DEC,Alabama,1,Disease,8.8,AL
49,SURVEY,2017,OCT THRU DEC,Alabama,1,Other,1.7,AL
50,SURVEY,2017,OCT THRU DEC,Alabama,1,Pesticides,9.5,AL
51,SURVEY,2017,OCT THRU DEC,Alabama,1,Pests_excl_Varroa,10.1,AL
52,SURVEY,2017,OCT THRU DEC,Alabama,1,Unknown,5.2,AL
53,SURVEY,2017,OCT THRU DEC,Alabama,1,Varroa_mites,22.3,AL
54,SURVEY,2016,JAN THRU MAR,Alabama,1,Disease,4.3,AL
55,SURVEY,2016,JAN THRU MAR,Alabama,1,Other,2.4,AL
56,SURVEY,2016,JAN THRU MAR,Alabama,1,Pesticides,8.1,AL
57,SURVEY,2016,JAN THRU MAR,Alabama,1,Pests_excl_Varroa,22.0,AL
58,SURVEY,2016,JAN THRU MAR,Alabama,1,Unknown,11.3,AL
59,SURVEY,2016,JAN THRU MAR,Alabama,1,Varroa_mites,24.2,AL
60,SURVEY,2016,APR THRU JUN,Alabama,1,Disease,0.3,AL
61,SURVEY,2016,APR THRU JUN,Alabama,1,Other,4.8,AL
62,SURVEY,2016,APR THRU JUN,Alabama,1,Pesticides,1.7,AL
63,SURVEY,2016,APR THRU JUN,Alabama,1,Pests_excl_Varroa,8.2,AL
64,SURVEY,2016,APR THRU JUN,Alabama,1,Unknown,5.4,AL
65,SURVEY,2016,APR THRU JUN,Alabama,1,Varroa_mites,9.6,AL
66,SURVEY,2016,JUL THRU SEP,Alabama,1,Disease,0.0,AL
67,SURVEY,2016,JUL THRU SEP,Alabama,1,Other,3.2,AL
68,SURVEY,2016,JUL THRU SEP,Alabama,1,Pesticides,3.8,AL
69,SURVEY,2016,JUL THRU SEP,Alabama,1,Pests_excl_Varroa,42.0,AL
70,SURVEY,2016,JUL THRU SEP,Alabama,1,Unknown,13.8,AL
71,SURVEY,2016,JUL THRU SEP,Alabama,1,Varroa_mites,11.7,AL
72,SURVEY,2016,OCT THRU DEC,Alabama,1,Disease,0.2,AL
73,SURVEY,2016,OCT THRU DEC,Alabama,1,Other,6.7,AL
74,SURVEY,2016,OCT THRU DEC,Alabama,1,Pesticides,2.4,AL
75,SURVEY,2016,OCT THRU DEC,Alabama,1,Pests_excl_Varroa,9.9,AL
76,SURVEY,2016,OCT THRU DEC,Alabama,1,Unknown,3.3,AL
77,SURVEY,2016,OCT THRU DEC,Alabama,1,Varroa_mites,12.3,AL
78,SURVEY,2015,JAN THRU MAR,Alabama,1,Disease,0.0,AL
79,SURVEY,2015,JAN THRU MAR,Alabama,1,Other,9.1,AL
80,SURVEY,2015,JAN THRU MAR,Alabama,1,Pesticides,2.2,AL
81,SURVEY,2015,JAN THRU MAR,Alabama,1,Pests_excl_Varroa,5.4,AL
82,SURVEY,2015,JAN THRU MAR,Alabama,1,Unknown,9.4,AL
83,SURVEY,2015,JAN THRU MAR,Alabama,1,Varroa_mites,10.0,AL
84,SURVEY,2015,APR THRU JUN,Alabama,1,Disease,0.0,AL
85,SURVEY,2015,APR THRU JUN,Alabama,1,Other,3.2,AL
86,SURVEY,2015,APR THRU JUN,Alabama,1,Pesticides,2.3,AL
87,SURVEY,2015,APR THRU JUN,Alabama,1,Pests_excl_Varroa,42.5,AL
88,SURVEY,2015,APR THRU JUN,Alabama,1,Unknown,4.1,AL
89,SURVEY,2015,APR THRU JUN,Alabama,1,Varroa_mites,16.7,AL
90,SURVEY,2015,JUL THRU SEP,Alabama,1,Disease,0.0,AL
91,SURVEY,2015,JUL THRU SEP,Alabama,1,Other,2.2,AL
92,SURVEY,2015,JUL THRU SEP,Alabama,1,Pesticides,2.6,AL
93,SURVEY,2015,JUL THRU SEP,Alabama,1,Pests_excl_Varroa,70.6,AL
94,SURVEY,2015,JUL THRU SEP,Alabama,1,Unknown,17.7,AL
95,SURVEY,2015,JUL THRU SEP,Alabama,1,Varroa_mites,63.1,AL
96,SURVEY,2015,OCT THRU DEC,Alabama,1,Disease,0.2,AL
97,SURVEY,2015,OCT THRU DEC,Alabama,1,Other,2.8,AL
98,SURVEY,2015,OCT THRU DEC,Alabama,1,Pesticides,0.2,AL
99,SURVEY,2015,OCT THRU DEC,Alabama,1,Pests_excl_Varroa,6.4,AL
100,SURVEY,2015,OCT THRU DEC,Alabama,1,Unknown,1.9,AL
101,SURVEY,2015,OCT THRU DEC,Alabama,1,Varroa_mites,3.1,AL
102,SURVEY,2019,JAN THRU MAR,Arizona,4,Disease,6.5,AZ
103,SURVEY,2019,JAN THRU MAR,Arizona,4,Other,8.4,AZ
104,SURVEY,2019,JAN THRU MAR,Arizona,4,Pesticides,16.2,AZ
105,SURVEY,2019,JAN THRU MAR,Arizona,4,Pests_excl_Varroa,7.9,AZ
106,SURVEY,2019,JAN THRU MAR,Arizona,4,Unknown,0.2,AZ
107,SURVEY,2019,JAN THRU MAR,Arizona,4,Varroa_mites,25.8,AZ
108,SURVEY,2018,JAN THRU MAR,Arizona,4,Disease,4.6,AZ
109,SURVEY,2018,JAN THRU MAR,Arizona,4,Other,7.9,AZ
110,SURVEY,2018,JAN THRU MAR,Arizona,4,Pesticides,15.3,AZ
111,SURVEY,2018,JAN THRU MAR,Arizona,4,Pests_excl_Varroa,4.3,AZ
112,SURVEY,2018,JAN THRU MAR,Arizona,4,Unknown,4.2,AZ
113,SURVEY,2018,JAN THRU MAR,Arizona,4,Varroa_mites,36.3,AZ
114,SURVEY,2018,APR THRU JUN,Arizona,4,Disease,32.8,AZ
115,SURVEY,2018,APR THRU JUN,Arizona,4,Other,14.3,AZ
116,SURVEY,2018,APR THRU JUN,Arizona,4,Pesticides,0.8,AZ
117,SURVEY,2018,APR THRU JUN,Arizona,4,Pests_excl_Varroa,7.2,AZ
118,SURVEY,2018,APR THRU JUN,Arizona,4,Unknown,4.1,AZ
119,SURVEY,2018,APR THRU JUN,Arizona,4,Varroa_mites,73.8,AZ
120,SURVEY,2018,JUL THRU SEP,Arizona,4,Disease,4.5,AZ
121,SURVEY,2018,JUL THRU SEP,Arizona,4,Other,15.0,AZ
122,SURVEY,2018,JUL THRU SEP,Arizona,4,Pesticides,3.8,AZ
123,SURVEY,2018,JUL THRU SEP,Arizona,4,Pests_excl_Varroa,2.3,AZ
124,SURVEY,2018,JUL THRU SEP,Arizona,4,Unknown,27.6,AZ
125,SURVEY,2018,JUL THRU SEP,Arizona,4,Varroa_mites,52.5,AZ
126,SURVEY,2018,OCT THRU DEC,Arizona,4,Disease,3.1,AZ
127,SURVEY,2018,OCT THRU DEC,Arizona,4,Other,7.1,AZ
128,SURVEY,2018,OCT THRU DEC,Arizona,4,Pesticides,0.0,AZ
129,SURVEY,2018,OCT THRU DEC,Arizona,4,Pests_excl_Varroa,8.3,AZ
130,SURVEY,2018,OCT THRU DEC,Arizona,4,Unknown,3.0,AZ
131,SURVEY,2018,OCT THRU DEC,Arizona,4,Varroa_mites,20.6,AZ
132,SURVEY,2017,JAN THRU MAR,Arizona,4,Disease,3.8,AZ
133,SURVEY,2017,JAN THRU MAR,Arizona,4,Other,6.5,AZ
134,SURVEY,2017,JAN THRU MAR,Arizona,4,Pesticides,1.7,AZ
135,SURVEY,2017,JAN THRU MAR,Arizona,4,Pests_excl_Varroa,2.0,AZ
136,SURVEY,2017,JAN THRU MAR,Arizona,4,Unknown,2.1,AZ
137,SURVEY,2017,JAN THRU MAR,Arizona,4,Varroa_mites,35.6,AZ
138,SURVEY,2017,APR THRU JUN,Arizona,4,Disease,19.7,AZ
139,SURVEY,2017,APR THRU JUN,Arizona,4,Other,20.4,AZ
140,SURVEY,2017,APR THRU JUN,Arizona,4,Pesticides,12.4,AZ
141,SURVEY,2017,APR THRU JUN,Arizona,4,Pests_excl_Varroa,15.9,AZ
142,SURVEY,2017,APR THRU JUN,Arizona,4,Unknown,0.7,AZ
143,SURVEY,2017,APR THRU JUN,Arizona,4,Varroa_mites,58.4,AZ
144,SURVEY,2017,JUL THRU SEP,Arizona,4,Disease,0.5,AZ
145,SURVEY,2017,JUL THRU SEP,Arizona,4,Other,12.4,AZ
146,SURVEY,2017,JUL THRU SEP,Arizona,4,Pesticides,1.1,AZ
147,SURVEY,2017,JUL THRU SEP,Arizona,4,Pests_excl_Varroa,0.4,AZ
148,SURVEY,2017,JUL THRU SEP,Arizona,4,Unknown,6.3,AZ
149,SURVEY,2017,JUL THRU SEP,Arizona,4,Varroa_mites,19.8,AZ
150,SURVEY,2017,OCT THRU DEC,Arizona,4,Disease,2.3,AZ
151,SURVEY,2017,OCT THRU DEC,Arizona,4,Other,4.1,AZ
152,SURVEY,2017,OCT THRU DEC,Arizona,4,Pesticides,1.6,AZ
153,SURVEY,2017,OCT THRU DEC,Arizona,4,Pests_excl_Varroa,4.2,AZ
154,SURVEY,2017,OCT THRU DEC,Arizona,4,Unknown,0.1,AZ
155,SURVEY,2017,OCT THRU DEC,Arizona,4,Varroa_mites,61.6,AZ
156,SURVEY,2016,JAN THRU MAR,Arizona,4,Disease,0.0,AZ
